raw_ticker	canonical_ticker	datetime_utc	difference_kind
LC	HAPN	2026-02-04T16:30:00+0000	ohlc
LC	HAPN	2026-02-04T17:15:00+0000	volume_only
LC	HAPN	2026-02-04T17:45:00+0000	ohlc
LC	HAPN	2026-02-04T18:45:00+0000	ohlc
LC	HAPN	2026-02-04T19:00:00+0000	ohlc
LC	HAPN	2026-02-04T19:45:00+0000	volume_only
LC	HAPN	2026-02-04T20:45:00+0000	ohlc
LC	HAPN	2026-02-05T14:45:00+0000	ohlc
LC	HAPN	2026-02-05T15:30:00+0000	ohlc
LC	HAPN	2026-02-05T16:15:00+0000	ohlc
LC	HAPN	2026-02-05T16:45:00+0000	ohlc
LC	HAPN	2026-02-05T17:15:00+0000	volume_only
LC	HAPN	2026-02-05T19:30:00+0000	ohlc
LC	HAPN	2026-02-06T15:00:00+0000	ohlc
LC	HAPN	2026-02-06T16:00:00+0000	ohlc
LC	HAPN	2026-02-06T17:15:00+0000	volume_only
LC	HAPN	2026-02-06T17:30:00+0000	ohlc
LC	HAPN	2026-02-06T17:45:00+0000	ohlc
LC	HAPN	2026-02-06T18:00:00+0000	ohlc
LC	HAPN	2026-02-06T18:15:00+0000	ohlc
LC	HAPN	2026-02-06T19:00:00+0000	ohlc
LC	HAPN	2026-02-06T19:15:00+0000	ohlc
LC	HAPN	2026-02-06T19:30:00+0000	ohlc
LC	HAPN	2026-02-06T19:45:00+0000	ohlc
LC	HAPN	2026-02-06T20:30:00+0000	ohlc
LC	HAPN	2026-02-06T20:45:00+0000	ohlc
LC	HAPN	2026-02-09T14:30:00+0000	ohlc
LC	HAPN	2026-02-11T14:45:00+0000	ohlc
LC	HAPN	2026-02-11T16:45:00+0000	ohlc
LC	HAPN	2026-02-11T17:15:00+0000	ohlc
LC	HAPN	2026-02-11T17:45:00+0000	ohlc
LC	HAPN	2026-02-11T18:00:00+0000	ohlc
LC	HAPN	2026-02-11T19:15:00+0000	ohlc
LC	HAPN	2026-02-11T19:45:00+0000	ohlc
LC	HAPN	2026-02-20T14:45:00+0000	ohlc
LC	HAPN	2026-02-20T15:00:00+0000	ohlc
LC	HAPN	2026-02-23T15:15:00+0000	ohlc
LC	HAPN	2026-03-03T14:45:00+0000	ohlc
LC	HAPN	2026-03-03T15:00:00+0000	ohlc
LC	HAPN	2026-03-03T15:15:00+0000	ohlc
LC	HAPN	2026-03-04T14:30:00+0000	ohlc
LC	HAPN	2026-03-05T15:00:00+0000	ohlc
LC	HAPN	2026-03-05T16:45:00+0000	ohlc
LC	HAPN	2026-03-05T17:15:00+0000	ohlc
LC	HAPN	2026-03-19T14:00:00+0000	ohlc
LC	HAPN	2026-03-19T14:30:00+0000	ohlc
LC	HAPN	2026-03-19T16:00:00+0000	ohlc
LC	HAPN	2026-03-23T13:30:00+0000	ohlc
LC	HAPN	2026-03-23T15:00:00+0000	volume_only
LC	HAPN	2026-03-24T14:00:00+0000	ohlc
LC	HAPN	2026-03-24T14:45:00+0000	volume_only
LC	HAPN	2026-03-24T16:15:00+0000	ohlc
LC	HAPN	2026-03-24T16:45:00+0000	ohlc
LC	HAPN	2026-03-24T17:45:00+0000	volume_only
LC	HAPN	2026-03-24T18:30:00+0000	volume_only
LC	HAPN	2026-03-24T19:15:00+0000	ohlc
LC	HAPN	2026-03-24T19:45:00+0000	ohlc
LC	HAPN	2026-03-26T14:30:00+0000	ohlc
LC	HAPN	2026-03-26T15:30:00+0000	ohlc
LC	HAPN	2026-03-26T16:30:00+0000	ohlc
LC	HAPN	2026-03-26T17:00:00+0000	ohlc
LC	HAPN	2026-03-27T15:15:00+0000	ohlc
LC	HAPN	2026-03-27T17:00:00+0000	volume_only
LC	HAPN	2026-03-27T17:15:00+0000	ohlc
LC	HAPN	2026-03-27T17:30:00+0000	ohlc
LC	HAPN	2026-03-27T18:15:00+0000	ohlc
LC	HAPN	2026-03-27T19:00:00+0000	ohlc
LC	HAPN	2026-03-27T19:30:00+0000	ohlc
LC	HAPN	2026-03-27T19:45:00+0000	ohlc
LC	HAPN	2026-03-31T14:45:00+0000	ohlc
LC	HAPN	2026-03-31T15:00:00+0000	ohlc
LC	HAPN	2026-03-31T15:15:00+0000	ohlc
LC	HAPN	2026-03-31T15:30:00+0000	ohlc
LC	HAPN	2026-03-31T16:00:00+0000	ohlc
LC	HAPN	2026-03-31T16:15:00+0000	ohlc
LC	HAPN	2026-03-31T17:30:00+0000	ohlc
LC	HAPN	2026-03-31T17:45:00+0000	ohlc
LC	HAPN	2026-04-08T14:00:00+0000	ohlc
LC	HAPN	2026-04-09T14:00:00+0000	ohlc
LC	HAPN	2026-04-09T14:30:00+0000	ohlc
LC	HAPN	2026-04-09T15:15:00+0000	ohlc
LC	HAPN	2026-04-09T15:30:00+0000	ohlc
LC	HAPN	2026-04-10T13:45:00+0000	ohlc
LC	HAPN	2026-04-10T14:30:00+0000	volume_only
LC	HAPN	2026-04-10T15:00:00+0000	ohlc
LC	HAPN	2026-04-10T15:15:00+0000	ohlc
LC	HAPN	2026-04-10T16:30:00+0000	ohlc
LC	HAPN	2026-04-10T19:00:00+0000	ohlc
LC	HAPN	2026-04-10T19:15:00+0000	ohlc
LC	HAPN	2026-04-27T13:45:00+0000	ohlc
LC	HAPN	2026-04-27T14:45:00+0000	ohlc
LC	HAPN	2026-04-27T15:00:00+0000	ohlc
LC	HAPN	2026-04-27T16:00:00+0000	ohlc
LC	HAPN	2026-04-27T16:15:00+0000	volume_only
LC	HAPN	2026-04-27T16:30:00+0000	ohlc
LC	HAPN	2026-04-27T17:30:00+0000	ohlc
LC	HAPN	2026-04-27T19:00:00+0000	ohlc
LC	HAPN	2026-04-27T19:30:00+0000	ohlc
LC	HAPN	2026-05-05T14:00:00+0000	ohlc
LC	HAPN	2026-05-05T14:15:00+0000	ohlc
LC	HAPN	2026-05-05T16:00:00+0000	ohlc
LC	HAPN	2026-06-05T13:45:00+0000	ohlc
LC	HAPN	2026-06-05T14:45:00+0000	ohlc
LC	HAPN	2026-06-10T13:30:00+0000	ohlc
LC	HAPN	2026-06-10T16:15:00+0000	ohlc
LC	HAPN	2026-06-11T13:30:00+0000	ohlc
LC	HAPN	2026-06-11T13:45:00+0000	ohlc
LC	HAPN	2026-06-12T13:30:00+0000	volume_only
LC	HAPN	2026-06-15T14:15:00+0000	ohlc
LC	HAPN	2026-06-16T14:00:00+0000	ohlc
LC	HAPN	2026-06-17T14:00:00+0000	ohlc
LC	HAPN	2026-06-17T14:30:00+0000	ohlc
LC	HAPN	2026-06-18T14:00:00+0000	ohlc
MXL	MXL	2024-10-31T15:45:00+0000	ohlc
NEM	NEM	2024-10-31T15:45:00+0000	ohlc
NEM	NEM	2024-12-31T15:45:00+0000	volume_only
NEM	NEM	2025-07-02T15:45:00+0000	volume_only
NEXA	NEXA	2024-05-01T15:45:00+0000	ohlc
QBTS	QBTS	2024-03-01T15:45:00+0000	volume_only
QBTS	QBTS	2024-12-31T15:45:00+0000	ohlc
SNDK	SNDK	2026-03-03T15:45:00+0000	ohlc
SNEX	SNEX	2026-03-03T15:45:00+0000	ohlc
