cache_key	family	source	ticker	fetched_at	expires_at	payload_bytes	payload_sha256
income_SNDK_quarterly	other_retained_cache	financial_datasets	SNDK	2026-06-23T00:19:25+00:00	2026-09-21T00:19:25+00:00	4369	0edf4023c09d85af59a87ef56b831be39e58dc919708452c8907ea76e05f169a
income_TIGO_quarterly	other_retained_cache	financial_datasets	TIGO	2026-06-22T12:35:28+00:00	2026-09-20T12:35:28+00:00	3862	481a13246b46dd3cf56a620a0336fea8745147be80ad6f230ff8df23d23e3e30
metrics_AMD_annual_y2	old_metrics_annual_y2	sec_edgar	AMD	2026-06-18T04:17:58+00:00	2026-09-16T04:17:58+00:00	1810	c389248a66589396ac97ab51cbfd7669de32fe501eae9f30931c65f2519e1b16
metrics_ARM_annual_y2	old_metrics_annual_y2	sec_edgar	ARM	2026-06-18T04:18:10+00:00	2026-09-16T04:18:10+00:00	1257	f7953ae975257f00104018eaf628d10e35c989050da87ba023dfb3078c88a3a1
metrics_ASML_annual_y2	old_metrics_annual_y2	sec_edgar	ASML	2026-06-18T04:18:14+00:00	2026-09-16T04:18:14+00:00	1258	8129161ce45a42462f3aa9fb1da8bfc0ad1d5af7f246822bb1a629e8d0a54d26
metrics_AVGO_annual_y2	old_metrics_annual_y2	sec_edgar	AVGO	2026-06-18T04:18:00+00:00	2026-09-16T04:18:00+00:00	1699	6977755efabe7eb7c826fee6ca65193180265db04ad5dbb43431a71474682e99
metrics_COIN_annual_y2	old_metrics_annual_y2	sec_edgar	COIN	2026-07-06T13:11:45+00:00	2026-10-04T13:11:45+00:00	1760	e2ab7aa08fe8f051efebcc94fa8fd8860ae543ced9505e81f880a2591837c2a3
metrics_DELL_annual_y2	old_metrics_annual_y2	sec_edgar	DELL	2026-07-06T13:11:47+00:00	2026-10-04T13:11:47+00:00	1812	bef766e636f8f28814f407ae08144ea2b9a4cf5a0a12f543fd5eef2572bbaefa
metrics_GOOGL_annual_y2	old_metrics_annual_y2	sec_edgar	GOOGL	2026-07-06T13:11:45+00:00	2026-10-04T13:11:45+00:00	1774	a4912cb6298f86d5dcc1590faabd67689eeeff9101fdbf020122a500d238f1a9
metrics_INTC_annual_y2	old_metrics_annual_y2	sec_edgar	INTC	2026-06-18T04:18:04+00:00	2026-09-16T04:18:04+00:00	1820	9ba4e90780f9a51992cf6999b242888691d442445bb55fbcbfc853bf9844c309
metrics_MRVL_annual_y2	old_metrics_annual_y2	sec_edgar	MRVL	2026-06-18T04:18:02+00:00	2026-09-16T04:18:02+00:00	1824	cdcddb87b4b8d3124b5623c5b09f977ac48dcefe4d790f48107af50985b5b422
metrics_MU_annual_y2	old_metrics_annual_y2	sec_edgar	MU	2026-06-18T04:18:08+00:00	2026-09-16T04:18:08+00:00	1804	d13d2a4a64021d6554202ef0802ef54a083ea224747c5b0d62fb82ed8b2bcf6f
metrics_MXL_annual_y2	old_metrics_annual_y2	sec_edgar	MXL	2026-06-18T01:07:35+00:00	2026-09-16T01:07:35+00:00	1787	d01e671dd5b407eff837237acd7c1103ce8cabec432be36d0d040cec18200ef6
metrics_NVDA_annual_y2	old_metrics_annual_y2	sec_edgar	NVDA	2026-04-15T23:33:08+00:00	2026-07-14T23:33:08+00:00	1808	c7d73bdef86960316de12277e6ce7d0a0eb6822681d9fbacd8dc7b2c60a2f94a
metrics_PLTR_annual_y2	old_metrics_annual_y2	sec_edgar	PLTR	2026-07-06T13:11:45+00:00	2026-10-04T13:11:45+00:00	1730	8c141b4c3c665a36151820bc458abdc81d33bdc97e683e83941440cef0cbbc71
metrics_QCOM_annual_y2	old_metrics_annual_y2	sec_edgar	QCOM	2026-06-18T04:18:06+00:00	2026-09-16T04:18:06+00:00	1801	db27d5abe863a1888cd46d2e3a918cce13c2a4a6389634fea861ed84923d1997
metrics_RKLB_annual_y2	old_metrics_annual_y2	sec_edgar	RKLB	2026-07-06T13:11:46+00:00	2026-10-04T13:11:46+00:00	1820	3d7d64264777f00831892ef27453c908cf99ac5edea525937a20d83306327916
metrics_SMCI_annual_y2	old_metrics_annual_y2	sec_edgar	SMCI	2026-07-06T13:11:47+00:00	2026-10-04T13:11:47+00:00	1764	a1a6bcb94048061073442f7619942d252005ded60ce5624be5308a25c30dab52
metrics_SNDK_annual_y2	old_metrics_annual_y2	sec_edgar	SNDK	2026-06-18T23:30:55+00:00	2026-09-16T23:30:55+00:00	1258	b87acbc225b70d4200f59b2cf5dd629c8c7dd2344bccfa65946fe946b84b472c
metrics_STRL_annual_y2	old_metrics_annual_y2	sec_edgar	STRL	2026-06-18T23:30:53+00:00	2026-09-16T23:30:53+00:00	1732	67e02be959f4e33ff20ec24325a78bc19dd803a0062cd8f0ba1c6a955a49c52a
metrics_TSM_annual_y2	old_metrics_annual_y2	sec_edgar	TSM	2026-06-18T04:18:12+00:00	2026-09-16T04:18:12+00:00	1257	f27615b33a18a6c2c6be8a80b248a3a802128a45bb66446c929a8d5d81e55c0e
