consumer_id	entrypoint_id	consumer_kind	path	line	symbol	evidence
consumer:browser_manifest:extensions/sa_alpha_picks/popup.html:482:3:html_script_consumer:extensions/sa_alpha_picks/popup.js	extensions/sa_alpha_picks/popup.js::external_manifest_target::extensions/sa_alpha_picks/popup.js	external_manifest	extensions/sa_alpha_picks/popup.html	482	extensions/sa_alpha_picks/popup.js	browser_manifest:extensions/sa_alpha_picks/popup.html:482:3:html_script_consumer:extensions/sa_alpha_picks/popup.js
consumer:browser_manifest:tests/fixtures/sa_extension/packaging/background.js:1:1:script_import_consumer:tests/fixtures/sa_extension/packaging/shared.js	tests/fixtures/sa_extension/packaging/shared.js::external_manifest_target::tests/fixtures/sa_extension/packaging/shared.js	external_manifest	tests/fixtures/sa_extension/packaging/background.js	1	tests/fixtures/sa_extension/packaging/shared.js	browser_manifest:tests/fixtures/sa_extension/packaging/background.js:1:1:script_import_consumer:tests/fixtures/sa_extension/packaging/shared.js
consumer:browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/background.js	tests/fixtures/sa_extension/packaging/background.js::external_manifest_target::tests/fixtures/sa_extension/packaging/background.js	external_manifest	tests/fixtures/sa_extension/packaging/manifest.firefox.json	0	tests/fixtures/sa_extension/packaging/background.js	browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/background.js
consumer:browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/compat_firefox.js	tests/fixtures/sa_extension/packaging/compat_firefox.js::external_manifest_target::tests/fixtures/sa_extension/packaging/compat_firefox.js	external_manifest	tests/fixtures/sa_extension/packaging/manifest.firefox.json	0	tests/fixtures/sa_extension/packaging/compat_firefox.js	browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/compat_firefox.js
consumer:browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/content.js	tests/fixtures/sa_extension/packaging/content.js::external_manifest_target::tests/fixtures/sa_extension/packaging/content.js	external_manifest	tests/fixtures/sa_extension/packaging/manifest.firefox.json	0	tests/fixtures/sa_extension/packaging/content.js	browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/content.js
consumer:browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/popup.html	tests/fixtures/sa_extension/packaging/popup.html::external_manifest_target::tests/fixtures/sa_extension/packaging/popup.html	external_manifest	tests/fixtures/sa_extension/packaging/manifest.firefox.json	0	tests/fixtures/sa_extension/packaging/popup.html	browser_manifest:tests/fixtures/sa_extension/packaging/manifest.firefox.json:0:0:test_fixture_target:tests/fixtures/sa_extension/packaging/popup.html
consumer:browser_manifest:tests/fixtures/sa_extension/packaging/popup.html:8:5:html_script_consumer:tests/fixtures/sa_extension/packaging/popup.js	tests/fixtures/sa_extension/packaging/popup.js::external_manifest_target::tests/fixtures/sa_extension/packaging/popup.js	external_manifest	tests/fixtures/sa_extension/packaging/popup.html	8	tests/fixtures/sa_extension/packaging/popup.js	browser_manifest:tests/fixtures/sa_extension/packaging/popup.html:8:5:html_script_consumer:tests/fixtures/sa_extension/packaging/popup.js
consumer:desktop_manifest:apps/arkscope-desktop/package.json:6:3:desktop_launcher:apps/arkscope-desktop/main.js	apps/arkscope-desktop/main.js::desktop_launcher::apps/arkscope-desktop/main.js	external_manifest	apps/arkscope-desktop/package.json	6	apps/arkscope-desktop/main.js	desktop_manifest:apps/arkscope-desktop/package.json:6:3:desktop_launcher:apps/arkscope-desktop/main.js
consumer:documented_command:README.md:39:16:command:npm run dev:desktop	package.json::npm_script::npm:.:dev:desktop	documented_invocation	README.md	39	npm run dev:desktop	documented_command:README.md:39:16:command:npm run dev:desktop
consumer:documented_command:README.md:39:1:command:npm install	README.md::documented_command::npm install	documented_invocation	README.md	39	npm install	documented_command:README.md:39:1:command:npm install
consumer:documented_command:README.md:42:1:command:python -m src.api	src/api/__main__.py::python_module::src.api	documented_invocation	README.md	42	python -m src.api	documented_command:README.md:42:1:command:python -m src.api
consumer:documented_command:README.md:43:1:command:npm run dev:web	package.json::npm_script::npm:.:dev:web	documented_invocation	README.md	43	npm run dev:web	documented_command:README.md:43:1:command:npm run dev:web
consumer:documented_command:README.md:57:1:command:python -m src.daily_update	src/daily_update.py::python_script::src/daily_update.py	documented_invocation	README.md	57	python -m src.daily_update	documented_command:README.md:57:1:command:python -m src.daily_update
